Wall time,Step,Value
1756168228.252178,40000,5.166411876678467
1756168419.3040588,40100,2.0058279037475586
1756168601.2305124,40200,1.793212652206421
1756168782.1075952,40300,1.8576290607452393
1756168923.5817964,40400,1.5907155275344849
1756169067.6614249,40500,1.5795131921768188
1756169204.150065,40600,1.6541920900344849
1756169342.59242,40700,2.8083841800689697
1756169489.5233722,40800,2.8277015686035156
1756169635.232594,40900,1.934127688407898
1756169775.9148443,41000,1.7126686573028564
1756169907.7034695,41100,1.4864211082458496
1756170042.7675543,41200,1.5869179964065552
1756170180.505245,41300,1.5278737545013428
1756170343.0239713,41400,1.6144390106201172
1756170529.8184054,41500,1.7357292175292969
1756170694.8443794,41600,1.3795561790466309
1756170828.7228887,41700,1.5086036920547485
1756170960.9966269,41800,1.4546411037445068
1756171096.9404535,41900,1.5783932209014893
1756171251.8578384,42000,1.7574366331100464
1756171477.5301924,42100,1.640844702720642
1756171622.152159,42200,1.5779643058776855
1756171757.1758177,42300,1.5912522077560425
1756171895.6419816,42400,1.493788480758667
1756172031.8346899,42500,1.330082654953003
1756172214.8056579,42600,1.2555592060089111
1756172372.9122038,42700,1.5134425163269043
1756172512.2007668,42800,1.357125163078308
1756172646.9440913,42900,1.394940972328186
1756172779.2848577,43000,1.4041802883148193
1756172916.9359384,43100,1.6072402000427246
1756173103.4620378,43200,1.390336513519287
1756173251.258139,43300,1.4161688089370728
1756173389.896305,43400,1.4219127893447876
1756173523.9306235,43500,2.4772801399230957
1756173657.4912384,43600,1.4499626159667969
1756173798.9203475,43700,1.4750268459320068
1756173965.6102123,43800,1.4554963111877441
1756174116.3369684,43900,1.3183274269104004
1756174252.7604072,44000,1.415846824645996
1756174385.9453986,44100,1.1983871459960938
1756174516.1678174,44200,1.3943819999694824
1756174648.2540855,44300,1.1787711381912231
1756174810.2355673,44400,1.459742784500122
1756174966.6641812,44500,1.2213094234466553
1756175113.907063,44600,1.4160444736480713
1756175249.1099803,44700,1.3803248405456543
1756175382.9517102,44800,1.4663186073303223
1756175518.578639,44900,1.3861055374145508
1756175698.193629,45000,1.2979766130447388
1756175839.9355233,45100,1.3298975229263306
1756175980.7329702,45200,1.3118715286254883
1756176114.0286987,45300,2.509599208831787
1756176248.0408428,45400,1.3360639810562134
1756176385.4886153,45500,1.3158855438232422
1756176541.9558892,45600,1.5085529088974
1756176687.1911342,45700,1.3319233655929565
1756176824.0807946,45800,1.394469976425171
1756176957.5587163,45900,1.1148253679275513
1756177103.747101,46000,1.2479746341705322
1756177236.977524,46100,1.2976980209350586
1756177379.2975419,46200,1.3203645944595337
1756177524.7864347,46300,1.1167311668395996
1756177667.2811143,46400,1.163999319076538
1756177796.1540992,46500,1.1545164585113525
1756177927.788869,46600,1.1521497964859009
1756178059.1991134,46700,1.0873117446899414
1756178203.6181872,46800,1.0583809614181519
1756178352.7895548,46900,1.0598232746124268
1756178492.6942885,47000,1.155793309211731
1756178630.9012063,47100,1.0420558452606201
1756178762.2393634,47200,0.9714946746826172
1756178891.435727,47300,1.0463660955429077
1756179022.3592114,47400,1.010654091835022
1756179189.7737105,47500,0.9441089630126953
1756179333.0846775,47600,0.9790211915969849
1756179474.1696408,47700,0.948492169380188
1756179603.069783,47800,0.8906703591346741
1756179741.1111455,47900,0.9659296274185181
1756179873.4091291,48000,0.9302921891212463
1756180023.938905,48100,1.0567817687988281
1756180164.3799393,48200,1.0024940967559814
1756180306.753253,48300,0.9659426808357239
1756180444.8206098,48400,0.9618274569511414
1756180576.1781693,48500,0.9445100426673889
1756180702.139297,48600,0.9448870420455933
1756180859.8213017,48700,1.1436128616333008
1756180998.7125332,48800,1.0390256643295288
1756181139.0600257,48900,0.9263257384300232
1756181273.5110805,49000,0.9178849458694458
1756181405.4243512,49100,0.9931986927986145
1756181533.1434824,49200,1.0369563102722168
1756181669.509418,49300,0.9642391204833984
1756181813.0110304,49400,0.9631571769714355
1756181955.2634327,49500,0.9598091840744019
1756182093.9682198,49600,1.001095175743103
1756182227.3550868,49700,1.6116876602172852
1756182355.0907054,49800,1.0307459831237793
1756182491.0694005,49900,0.922155499458313
1756182640.48508,50000,0.9727389216423035
1756182780.4551647,50100,0.9871928095817566
1756182923.1669924,50200,0.9236993789672852
1756183055.360756,50300,0.9424030184745789
1756183186.554681,50400,0.8714686632156372
1756183323.9652834,50500,0.8590240478515625
1756183465.8371418,50600,0.8986226320266724
1756183609.7187724,50700,1.9155791997909546
1756183740.2069423,50800,0.944124698638916
1756183875.7841773,50900,0.8527113199234009
1756184008.4266853,51000,0.7774403691291809
1756184135.3338118,51100,0.8746486902236938
1756184275.8937476,51200,0.9189296960830688
1756184412.9929156,51300,0.9371863603591919
1756184549.5461023,51400,0.994781494140625
1756184688.2871714,51500,0.8971434235572815
1756184820.274569,51600,0.8144057393074036
1756184947.3908587,51700,0.8723841309547424
1756185070.1021035,51800,0.9067909717559814
1756185223.4036798,51900,0.9155651330947876
1756185368.7317295,52000,0.9903330206871033
1756185502.1456215,52100,0.9641633033752441
1756185642.9042675,52200,0.9498913884162903
1756185768.7898748,52300,0.8404553532600403
1756185894.3328261,52400,0.8959258198738098
1756186037.1791778,52500,0.9951550364494324
1756186186.2583601,52600,0.8570473194122314
1756186320.3193827,52700,0.886854350566864
1756186452.2795608,52800,0.9031429886817932
1756186582.7102761,52900,0.8634825944900513
1756186708.3785017,53000,0.8226954936981201
1756186853.524374,53100,0.9030124545097351
1756186993.335284,53200,0.9913028478622437
1756187136.3998637,53300,0.8915437459945679
1756187272.6757681,53400,0.8420359492301941
1756187406.485826,53500,0.8776600956916809
1756187537.289088,53600,0.8041148781776428
1756187663.8121548,53700,0.8428093194961548
1756187808.4030375,53800,0.8967732191085815
1756187946.866277,53900,0.8775886297225952
1756188072.8545096,54000,0.8915063142776489
1756188216.0723982,54100,0.8423247933387756
1756188347.9558241,54200,0.7385375499725342
1756188474.6337955,54300,0.8467944264411926
1756188614.7202823,54400,0.9544075727462769
1756188747.3474898,54500,0.8919001221656799
1756188889.415495,54600,0.8635247945785522
1756189022.1809711,54700,0.8072296977043152
1756189151.9109468,54800,0.9271195530891418
1756189279.244242,54900,0.8390518426895142
1756189413.8228443,55000,0.7948226928710938
1756189548.8414054,55100,0.8761266469955444
1756189691.0078714,55200,0.9499561786651611
1756189822.2665055,55300,0.90064936876297
1756189955.6560788,55400,0.8862371444702148
1756190085.0435965,55500,0.7731705904006958
1756190213.6868002,55600,0.8752188086509705
1756190343.7555256,55700,0.9017323851585388
1756190482.1557975,55800,0.8289941549301147
1756190612.313945,55900,0.7942513227462769
1756190744.4505103,56000,0.9105498790740967
1756190879.5014937,56100,0.9472699165344238
1756191005.5478826,56200,0.7826160788536072
1756191135.4348712,56300,0.8875167965888977
1756191268.384119,56400,0.8219417333602905
